treatment,baseline,metric,samples,mean,p5,p50,p95,std_error,ci95_low,ci95_high,t_stat,paired_win_rate,significant_95
dodo-k1000000000000000,univ2-zero-fee,retailEdge,1000,-1388.7059824652488,-2971.538865987454,-1211.6505404160873,-415.5349538978873,24.950506795444905,-1437.6080771803427,-1339.803887750155,-55.658427856815244,0,true
dodo-k1000000000000000,univ2-zero-fee,arbitrageEdge,1000,1787.4613946138509,606.7208435567773,1612.3116094241293,3477.446090753807,27.571140326229237,1733.4229525617416,1841.4998366659602,64.83088379603169,1,true
flashbots-c1000,univ2-zero-fee,netEdge,1000,398.75583181471796,4.625197624568446,294.98026871985405,1099.0498251365868,11.727949876023402,375.7694724452211,421.74219118421485,34.000472037310935,0.999,true
flashbots-c1000,univ2-zero-fee,retailEdge,1000,-1388.727180182273,-2971.543179950622,-1211.723913282276,-415.56055592220326,24.95009995214239,-1437.6284774991466,-1339.8258828653995,-55.66018504318766,0,true
flashbots-c1000,univ2-zero-fee,arbitrageEdge,1000,1787.4830119969924,606.7266479803629,1612.299768388308,3477.263541289174,27.57060498218659,1733.445619199926,1841.5204047940588,64.8329267040708,1,true
univ3-full-range-zero-fee,univ2-zero-fee,netEdge,1000,-0.0018624455490833327,-0.16165104406866249,-0.0010011533763645275,0.14821919512701243,0.002810985962507783,-0.007371876796646246,0.0036469856984795808,-0.6625595338874539,0.486,false
univ3-full-range-zero-fee,univ2-zero-fee,retailEdge,1000,0.0015144751235679906,-0.262449936826215,0.0022677434019442444,0.2851676492932711,0.005920443986202634,-0.010089381861875926,0.013118332109011907,0.25580431587519725,0.519,false
univ3-full-range-zero-fee,univ2-zero-fee,arbitrageEdge,1000,-0.003376920672652318,-0.33890639899072994,-0.004786395036603608,0.29274244179896414,0.006576043624081626,-0.01626572933661656,0.009511887991311923,-0.5135185935029316,0.492,false
univ3-conc-c2,univ2-zero-fee,netEdge,1000,-397.72245883614227,-1114.147261848132,-292.60329292138647,-4.917078729424702,11.69308383836255,-420.64048202754026,-374.8044356447443,-34.01347876522517,0,true
univ3-conc-c2,univ2-zero-fee,retailEdge,1000,-673.5173936376724,-1462.0033722877968,-592.5052231682247,-205.2512238974358,13.78240173150975,-700.530404651894,-646.5043826234509,-48.867926415020705,0.002,true
univ3-conc-c2,univ2-zero-fee,arbitrageEdge,1000,275.7949348015305,-604.0569666409747,278.2877554970769,1206.6643302297018,18.093965433725234,240.33141421391636,311.2584553891446,15.242371044186806,0.713,true
univ3-conc-c5,univ2-zero-fee,netEdge,1000,-1174.2756908560145,-3466.226002703118,-840.5296551877186,-14.614848699116123,35.46540035655798,-1243.786598252162,-1104.764783459867,-33.110459181349036,0.009,true
univ3-conc-c5,univ2-zero-fee,retailEdge,1000,349.1622618241643,-2169.7153420774935,-691.0999598060596,7295.064471009025,119.73791731593732,114.48025630109225,583.8442673472364,2.9160542428917813,0.224,true
